WEEK,STORE,STORE_TYPE,STORE_SIZE,PARKING,SALES_AREA,PRODUCT,CATEGORY,MANUFACTURER,BRAND,SUBCATEGORY,SIZE,UNITS,SALES,VISITS,HHS,BASE_PRICE,PRICE,FEATURE,DISPLAY,INVENTORY
2022-01-03,101,Urban,40000,100,30000,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,11,13392.61,11,10,1249,1217.51,1,0,9
2022-01-03,101,Urban,40000,100,30000,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,8,8156.08,13,12,1099,1019.51,1,0,31
2022-01-03,101,Urban,40000,100,30000,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,23,19650.28,27,25,899,854.36,0,1,34
2022-01-03,102,Suburban,35000,120,28000,204,Tablet,Apple,iPad,iPad Air,64 GB,14,8874.46,17,15,649,633.89,1,1,16
2022-01-03,102,Suburban,35000,120,28000,202,Laptop,Dell,XPS,XPS 13,512 GB,28,34759.2,33,33,1299,1241.4,1,0,37
2022-01-03,102,Suburban,35000,120,28000,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,13,14285.96,18,18,1199,1098.92,0,0,31
2022-01-03,103,Rural,20000,60,16000,204,Tablet,Apple,iPad,iPad Air,64 GB,17,11017.02,17,15,649,648.06,1,1,42
2022-01-03,103,Rural,20000,60,16000,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,26,32222.58,29,28,1249,1239.33,0,0,4
2022-01-03,103,Rural,20000,60,16000,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,15,15342.6,18,17,1099,1022.84,0,1,2
2022-01-10,101,Urban,40000,100,30000,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,28,784.28,32,30,29.99,28.01,1,1,28
2022-01-10,101,Urban,40000,100,30000,202,Laptop,Dell,XPS,XPS 13,512 GB,18,21316.32,19,18,1299,1184.24,1,1,25
2022-01-10,101,Urban,40000,100,30000,204,Tablet,Apple,iPad,iPad Air,64 GB,24,14786.4,24,22,649,616.1,1,0,33
2022-01-10,102,Suburban,35000,120,28000,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,11,11955.68,13,11,1199,1086.88,0,0,22
2022-01-10,102,Suburban,35000,120,28000,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,10,11830.8,12,11,1249,1183.08,1,1,13
2022-01-10,102,Suburban,35000,120,28000,202,Laptop,Dell,XPS,XPS 13,512 GB,8,9561.6,10,8,1299,1195.2,0,1,45
2022-01-10,103,Rural,20000,60,16000,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,18,14740.74,20,20,899,818.93,0,0,19
2022-01-10,103,Rural,20000,60,16000,202,Laptop,Dell,XPS,XPS 13,512 GB,19,24209.61,19,17,1299,1274.19,1,0,8
2022-01-10,103,Rural,20000,60,16000,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,2,2083.42,2,1,1099,1041.71,0,0,0
2022-01-17,101,Urban,40000,100,30000,204,Tablet,Apple,iPad,iPad Air,64 GB,19,11681.01,20,19,649,614.79,1,0,24
2022-01-17,101,Urban,40000,100,30000,202,Laptop,Dell,XPS,XPS 13,512 GB,25,32304.75,25,25,1299,1292.19,0,0,5
2022-01-17,101,Urban,40000,100,30000,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,24,684.24,25,23,29.99,28.51,1,1,23
2022-01-17,102,Suburban,35000,120,28000,204,Tablet,Apple,iPad,iPad Air,64 GB,12,7502.4,13,13,649,625.2,0,0,6
2022-01-17,102,Suburban,35000,120,28000,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,13,15861.17,14,13,1249,1220.09,1,0,4
2022-01-17,102,Suburban,35000,120,28000,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,28,23471.84,28,27,899,838.28,0,0,22
2022-01-17,103,Rural,20000,60,16000,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,19,15860.44,24,22,899,834.76,0,1,4
2022-01-17,103,Rural,20000,60,16000,204,Tablet,Apple,iPad,iPad Air,64 GB,25,15073.25,29,29,649,602.93,0,1,30
2022-01-17,103,Rural,20000,60,16000,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,25,742.25,26,25,29.99,29.69,1,0,30
2022-01-24,101,Urban,40000,100,30000,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,9,10363.59,10,10,1249,1151.51,0,1,13
2022-01-24,101,Urban,40000,100,30000,204,Tablet,Apple,iPad,iPad Air,64 GB,18,10585.44,23,22,649,588.08,1,0,7
2022-01-24,101,Urban,40000,100,30000,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,15,17967.75,19,18,1199,1197.85,0,1,16
2022-01-24,102,Suburban,35000,120,28000,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,18,21084.48,20,20,1199,1171.36,0,1,23
2022-01-24,102,Suburban,35000,120,28000,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,4,4560.88,9,9,1249,1140.22,0,0,6
2022-01-24,102,Suburban,35000,120,28000,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,9,9330.57,13,12,1099,1036.73,1,1,45
2022-01-24,103,Rural,20000,60,16000,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,4,4602.88,7,6,1249,1150.72,1,1,4
2022-01-24,103,Rural,20000,60,16000,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,18,513.18,18,16,29.99,28.51,1,0,27
2022-01-24,103,Rural,20000,60,16000,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,4,3455.52,4,4,899,863.88,0,1,3
2022-01-31,101,Urban,40000,100,30000,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,5,5975.15,6,5,1199,1195.03,0,1,24
2022-01-31,101,Urban,40000,100,30000,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,6,6772.02,10,9,1249,1128.67,0,0,26
2022-01-31,101,Urban,40000,100,30000,202,Laptop,Dell,XPS,XPS 13,512 GB,5,5959.15,5,5,1299,1191.83,1,1,13
2022-01-31,102,Suburban,35000,120,28000,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,20,590.2,20,18,29.99,29.51,0,1,14
2022-01-31,102,Suburban,35000,120,28000,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,7,6190.17,12,11,899,884.31,0,1,28
2022-01-31,102,Suburban,35000,120,28000,204,Tablet,Apple,iPad,iPad Air,64 GB,6,3619.8,7,5,649,603.3,1,1,6
2022-01-31,103,Rural,20000,60,16000,204,Tablet,Apple,iPad,iPad Air,64 GB,17,10915.53,17,17,649,642.09,1,0,22
2022-01-31,103,Rural,20000,60,16000,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,3,2678.43,6,5,899,892.81,0,1,0
2022-01-31,103,Rural,20000,60,16000,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,18,21042.9,22,21,1199,1169.05,1,1,44
2022-02-07,101,Urban,40000,100,30000,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,9,10250.19,12,12,1249,1138.91,0,1,33
2022-02-07,101,Urban,40000,100,30000,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,8,8953.36,13,11,1199,1119.17,1,1,20
2022-02-07,101,Urban,40000,100,30000,204,Tablet,Apple,iPad,iPad Air,64 GB,7,4155.76,11,9,649,593.68,1,0,16
2022-02-07,102,Suburban,35000,120,28000,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,14,389.76,17,17,29.99,27.84,0,0,14
2022-02-07,102,Suburban,35000,120,28000,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,27,22878.72,27,25,899,847.36,1,1,15
2022-02-07,102,Suburban,35000,120,28000,202,Laptop,Dell,XPS,XPS 13,512 GB,21,25019.61,23,23,1299,1191.41,0,0,41
2022-02-07,103,Rural,20000,60,16000,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,27,797.31,30,30,29.99,29.53,0,1,14
2022-02-07,103,Rural,20000,60,16000,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,27,32212.08,27,25,1199,1193.04,1,0,32
2022-02-07,103,Rural,20000,60,16000,204,Tablet,Apple,iPad,iPad Air,64 GB,22,13567.4,27,25,649,616.7,0,1,3
2022-02-14,101,Urban,40000,100,30000,204,Tablet,Apple,iPad,iPad Air,64 GB,13,7982,17,17,649,614,1,0,15
2022-02-14,101,Urban,40000,100,30000,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,11,9690.34,13,11,899,880.94,1,0,32
2022-02-14,101,Urban,40000,100,30000,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,20,565.8,20,19,29.99,28.29,1,1,21
2022-02-14,102,Suburban,35000,120,28000,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,14,387.52,17,17,29.99,27.68,0,1,7
2022-02-14,102,Suburban,35000,120,28000,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,6,6780.3,8,6,1249,1130.05,0,0,12
2022-02-14,102,Suburban,35000,120,28000,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,19,19503.88,22,21,1099,1026.52,0,1,38
2022-02-14,103,Rural,20000,60,16000,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,14,407.4,14,14,29.99,29.1,1,0,11
2022-02-14,103,Rural,20000,60,16000,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,0,0,4,3,899,827.51,0,1,6
2022-02-14,103,Rural,20000,60,16000,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,4,4951.88,8,6,1249,1237.97,1,0,14
2022-02-21,101,Urban,40000,100,30000,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,23,22924.56,28,26,1099,996.72,0,1,19
2022-02-21,101,Urban,40000,100,30000,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,17,20653.47,17,17,1249,1214.91,0,0,18
2022-02-21,101,Urban,40000,100,30000,204,Tablet,Apple,iPad,iPad Air,64 GB,15,9467.4,15,15,649,631.16,0,1,6
2022-02-21,102,Suburban,35000,120,28000,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,7,202.09,10,9,29.99,28.87,0,0,0
2022-02-21,102,Suburban,35000,120,28000,202,Laptop,Dell,XPS,XPS 13,512 GB,20,24818.4,25,24,1299,1240.92,0,1,30
2022-02-21,102,Suburban,35000,120,28000,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,7,5772.48,7,6,899,824.64,0,0,24
2022-02-21,103,Rural,20000,60,16000,202,Laptop,Dell,XPS,XPS 13,512 GB,8,10009.84,12,10,1299,1251.23,1,0,8
2022-02-21,103,Rural,20000,60,16000,204,Tablet,Apple,iPad,iPad Air,64 GB,3,1767.33,5,3,649,589.11,0,1,12
2022-02-21,103,Rural,20000,60,16000,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,10,287.4,14,14,29.99,28.74,0,1,18
2022-02-28,101,Urban,40000,100,30000,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,9,9850.68,12,10,1099,1094.52,0,0,14
2022-02-28,101,Urban,40000,100,30000,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,21,605.22,21,19,29.99,28.82,1,0,15
2022-02-28,101,Urban,40000,100,30000,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,18,20816.46,23,22,1199,1156.47,0,1,16
2022-02-28,102,Suburban,35000,120,28000,204,Tablet,Apple,iPad,iPad Air,64 GB,6,3841.86,6,5,649,640.31,1,0,10
2022-02-28,102,Suburban,35000,120,28000,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,20,23025,23,23,1199,1151.25,0,1,8
2022-02-28,102,Suburban,35000,120,28000,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,10,8335.8,14,14,899,833.58,1,0,19
2022-02-28,103,Rural,20000,60,16000,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,0,0,1,-1,1099,1005.99,1,1,16
2022-02-28,103,Rural,20000,60,16000,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,18,515.7,22,22,29.99,28.65,0,0,9
2022-02-28,103,Rural,20000,60,16000,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,13,14325.87,17,15,1199,1101.99,0,0,30
2022-03-07,101,Urban,40000,100,30000,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,18,22119.84,22,22,1249,1228.88,1,1,11
2022-03-07,101,Urban,40000,100,30000,204,Tablet,Apple,iPad,iPad Air,64 GB,6,3881.4,7,7,649,646.9,0,0,2
2022-03-07,101,Urban,40000,100,30000,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,13,14114.1,15,14,1099,1085.7,1,1,21
2022-03-07,102,Suburban,35000,120,28000,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,19,16150,21,20,899,850,0,1,3
2022-03-07,102,Suburban,35000,120,28000,204,Tablet,Apple,iPad,iPad Air,64 GB,5,2992.4,6,5,649,598.48,1,1,13
2022-03-07,102,Suburban,35000,120,28000,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,0,0,0,-1,29.99,29.39,1,0,13
2022-03-07,103,Rural,20000,60,16000,202,Laptop,Dell,XPS,XPS 13,512 GB,8,9610.72,13,12,1299,1201.34,1,1,5
2022-03-07,103,Rural,20000,60,16000,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,9,253.98,11,11,29.99,28.22,0,0,15
2022-03-07,103,Rural,20000,60,16000,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,6,5372.58,9,7,899,895.43,0,1,2
2022-03-14,101,Urban,40000,100,30000,204,Tablet,Apple,iPad,iPad Air,64 GB,2,1211.1,3,3,649,605.55,1,0,18
2022-03-14,101,Urban,40000,100,30000,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,22,19016.36,22,22,899,864.38,1,0,28
2022-03-14,101,Urban,40000,100,30000,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,16,18264.32,20,19,1199,1141.52,1,1,7
2022-03-14,102,Suburban,35000,120,28000,204,Tablet,Apple,iPad,iPad Air,64 GB,13,7846.28,13,13,649,603.56,0,0,4
2022-03-14,102,Suburban,35000,120,28000,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,3,2442.45,3,1,899,814.15,1,1,9
2022-03-14,102,Suburban,35000,120,28000,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,12,14393.04,15,14,1249,1199.42,0,1,4
2022-03-14,103,Rural,20000,60,16000,204,Tablet,Apple,iPad,iPad Air,64 GB,8,5036.32,12,10,649,629.54,1,0,15
2022-03-14,103,Rural,20000,60,16000,202,Laptop,Dell,XPS,XPS 13,512 GB,5,6349.25,5,5,1299,1269.85,1,1,0
2022-03-14,103,Rural,20000,60,16000,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,15,417.15,18,17,29.99,27.81,1,1,4
2022-03-21,101,Urban,40000,100,30000,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,21,22567.44,26,25,1099,1074.64,1,1,5
2022-03-21,101,Urban,40000,100,30000,202,Laptop,Dell,XPS,XPS 13,512 GB,8,9456.4,13,13,1299,1182.05,1,1,17
2022-03-21,101,Urban,40000,100,30000,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,11,12859.66,13,12,1249,1169.06,1,1,13
2022-03-21,102,Suburban,35000,120,28000,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,5,145.5,6,6,29.99,29.1,0,1,23
2022-03-21,102,Suburban,35000,120,28000,202,Laptop,Dell,XPS,XPS 13,512 GB,14,17882.34,14,13,1299,1277.31,1,1,29
2022-03-21,102,Suburban,35000,120,28000,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,16,16337.6,17,17,1099,1021.1,0,0,28
2022-03-21,103,Rural,20000,60,16000,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,16,15849.6,17,17,1099,990.6,1,1,3
2022-03-21,103,Rural,20000,60,16000,202,Laptop,Dell,XPS,XPS 13,512 GB,0,0,4,3,1299,1251.27,0,0,5
2022-03-21,103,Rural,20000,60,16000,204,Tablet,Apple,iPad,iPad Air,64 GB,13,8041.41,14,13,649,618.57,0,1,19
2022-03-28,101,Urban,40000,100,30000,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,9,262.8,11,10,29.99,29.2,1,0,14
2022-03-28,101,Urban,40000,100,30000,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,10,8743,15,13,899,874.3,1,1,34
2022-03-28,101,Urban,40000,100,30000,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,7,7957.88,7,5,1199,1136.84,1,0,11
2022-03-28,102,Suburban,35000,120,28000,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,4,4970.84,4,2,1249,1242.71,1,1,20
2022-03-28,102,Suburban,35000,120,28000,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,8,9547.04,9,9,1199,1193.38,0,1,19
2022-03-28,102,Suburban,35000,120,28000,202,Laptop,Dell,XPS,XPS 13,512 GB,29,36210.56,29,28,1299,1248.64,1,0,0
2022-03-28,103,Rural,20000,60,16000,204,Tablet,Apple,iPad,iPad Air,64 GB,7,4195.66,7,5,649,599.38,0,0,32
2022-03-28,103,Rural,20000,60,16000,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,2,1697.62,3,3,899,848.81,1,0,19
2022-03-28,103,Rural,20000,60,16000,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,3,2976.21,7,5,1099,992.07,1,1,8
2022-04-04,101,Urban,40000,100,30000,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,11,12675.19,13,11,1199,1152.29,1,0,5
2022-04-04,101,Urban,40000,100,30000,204,Tablet,Apple,iPad,iPad Air,64 GB,8,5017.68,12,10,649,627.21,1,1,27
2022-04-04,101,Urban,40000,100,30000,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,7,5765.34,11,9,899,823.62,1,1,34
2022-04-04,102,Suburban,35000,120,28000,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,11,11157.74,12,12,1099,1014.34,0,0,35
2022-04-04,102,Suburban,35000,120,28000,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,5,4417.15,7,6,899,883.43,0,0,6
2022-04-04,102,Suburban,35000,120,28000,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,19,21220.53,22,20,1199,1116.87,1,1,17
2022-04-04,103,Rural,20000,60,16000,202,Laptop,Dell,XPS,XPS 13,512 GB,5,6196.7,6,4,1299,1239.34,0,0,9
2022-04-04,103,Rural,20000,60,16000,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,19,16753.82,20,20,899,881.78,1,1,19
2022-04-04,103,Rural,20000,60,16000,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,4,112.56,5,4,29.99,28.14,0,0,0
2022-04-11,101,Urban,40000,100,30000,204,Tablet,Apple,iPad,iPad Air,64 GB,27,17073.72,31,30,649,632.36,1,1,10
2022-04-11,101,Urban,40000,100,30000,202,Laptop,Dell,XPS,XPS 13,512 GB,17,20062.55,19,17,1299,1180.15,1,1,13
2022-04-11,101,Urban,40000,100,30000,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,5,5036.35,7,7,1099,1007.27,1,1,14
2022-04-11,102,Suburban,35000,120,28000,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,12,353.04,13,12,29.99,29.42,1,0,16
2022-04-11,102,Suburban,35000,120,28000,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,6,5167.2,7,5,899,861.2,1,0,0
2022-04-11,102,Suburban,35000,120,28000,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,17,19689.91,20,20,1199,1158.23,1,1,1
2022-04-11,103,Rural,20000,60,16000,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,8,8217.84,13,11,1099,1027.23,0,0,4
2022-04-11,103,Rural,20000,60,16000,204,Tablet,Apple,iPad,iPad Air,64 GB,10,6046.6,11,10,649,604.66,1,0,31
2022-04-11,103,Rural,20000,60,16000,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,12,13919.88,15,13,1199,1159.99,0,0,36
2022-04-18,101,Urban,40000,100,30000,204,Tablet,Apple,iPad,iPad Air,64 GB,10,6380.5,13,12,649,638.05,0,0,8
2022-04-18,101,Urban,40000,100,30000,202,Laptop,Dell,XPS,XPS 13,512 GB,6,7029.3,9,8,1299,1171.55,1,1,15
2022-04-18,101,Urban,40000,100,30000,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,27,24093.18,27,27,899,892.34,0,0,26
2022-04-18,102,Suburban,35000,120,28000,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,16,469.76,19,18,29.99,29.36,0,0,11
2022-04-18,102,Suburban,35000,120,28000,204,Tablet,Apple,iPad,iPad Air,64 GB,4,2378.12,9,9,649,594.53,0,1,9
2022-04-18,102,Suburban,35000,120,28000,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,11,13335.08,16,16,1249,1212.28,0,1,9
2022-04-18,103,Rural,20000,60,16000,202,Laptop,Dell,XPS,XPS 13,512 GB,9,10870.29,14,13,1299,1207.81,1,0,9
2022-04-18,103,Rural,20000,60,16000,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,7,8121.82,9,9,1199,1160.26,0,1,32
2022-04-18,103,Rural,20000,60,16000,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,4,4159.28,7,6,1099,1039.82,0,0,12
2022-04-25,101,Urban,40000,100,30000,202,Laptop,Dell,XPS,XPS 13,512 GB,14,16873.36,15,14,1299,1205.24,0,1,9
2022-04-25,101,Urban,40000,100,30000,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,14,14497.28,16,15,1099,1035.52,1,0,18
2022-04-25,101,Urban,40000,100,30000,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,7,5763.31,7,7,899,823.33,1,0,22
2022-04-25,102,Suburban,35000,120,28000,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,9,10510.83,12,12,1249,1167.87,1,0,8
2022-04-25,102,Suburban,35000,120,28000,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,1,1192.63,1,1,1199,1192.63,1,0,16
2022-04-25,102,Suburban,35000,120,28000,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,8,222,12,10,29.99,27.75,1,0,3
2022-04-25,103,Rural,20000,60,16000,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,14,16832.2,14,12,1249,1202.3,1,1,12
2022-04-25,103,Rural,20000,60,16000,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,12,13075.44,14,14,1099,1089.62,1,0,16
2022-04-25,103,Rural,20000,60,16000,204,Tablet,Apple,iPad,iPad Air,64 GB,5,2993.95,10,10,649,598.79,0,0,38
2022-05-02,101,Urban,40000,100,30000,202,Laptop,Dell,XPS,XPS 13,512 GB,9,10680.12,12,10,1299,1186.68,0,0,2
2022-05-02,101,Urban,40000,100,30000,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,11,12061.28,12,12,1099,1096.48,1,1,14
2022-05-02,101,Urban,40000,100,30000,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,9,246.24,12,11,29.99,27.36,0,0,11
2022-05-02,102,Suburban,35000,120,28000,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,0,0,1,-1,899,840.83,1,1,17
2022-05-02,102,Suburban,35000,120,28000,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,17,17240.04,20,19,1099,1014.12,1,0,34
2022-05-02,102,Suburban,35000,120,28000,202,Laptop,Dell,XPS,XPS 13,512 GB,0,0,3,3,1299,1281.14,1,0,18
2022-05-02,103,Rural,20000,60,16000,202,Laptop,Dell,XPS,XPS 13,512 GB,6,7791.96,7,6,1299,1298.66,1,1,19
2022-05-02,103,Rural,20000,60,16000,205,Accessory,Logitech,Logitech,Wireless Mouse,Standard,0,0,5,3,29.99,27.16,1,1,14
2022-05-02,103,Rural,20000,60,16000,204,Tablet,Apple,iPad,iPad Air,64 GB,9,5609.88,12,10,649,623.32,1,1,47
2022-05-09,101,Urban,40000,100,30000,203,Smartphone,Samsung,Galaxy,S23 Ultra,256 GB,5,5583.05,10,9,1199,1116.61,0,1,1
2022-05-09,101,Urban,40000,100,30000,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,13,15501.85,13,13,1249,1192.45,1,0,16
2022-05-09,101,Urban,40000,100,30000,201,Smartphone,Apple,iPhone,iPhone 14 Pro,128 GB,12,12267.84,15,14,1099,1022.32,1,1,15
2022-05-09,102,Suburban,35000,120,28000,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,17,14922.09,20,20,899,877.77,0,1,17
2022-05-09,102,Suburban,35000,120,28000,202,Laptop,Dell,XPS,XPS 13,512 GB,18,21055.68,20,20,1299,1169.76,0,0,11
2022-05-09,102,Suburban,35000,120,28000,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,8,9072.4,8,6,1249,1134.05,1,0,1
2022-05-09,103,Rural,20000,60,16000,204,Tablet,Apple,iPad,iPad Air,64 GB,8,4814.08,11,10,649,601.76,0,0,53
2022-05-09,103,Rural,20000,60,16000,207,Smartphone,Google,Pixel,Pixel 8 Pro,128 GB,19,16464.64,24,23,899,866.56,1,0,5
2022-05-09,103,Rural,20000,60,16000,206,Laptop,Apple,MacBook,MacBook Air M2,256 GB,10,12062.1,13,12,1249,1206.21,0,0,7
